# QT Clean v2 real-person names from Wikidata structured data (CC0-1.0)
# Format: source<TAB>Vietnamese/Latin target<TAB>type<TAB>provenance
三上明紀	Akinori Mikami	person_name_japanese	wikidata:Q47509:japan
三上明纪	Akinori Mikami	person_name_japanese	wikidata:Q47509:japan
三善晃	Akira Miyoshi	person_name_japanese	wikidata:Q162113:japan
三岛由纪夫	Yukio Mishima	person_name_japanese	wikidata:Q134456:japan
三島由紀夫	Yukio Mishima	person_name_japanese	wikidata:Q134456:japan
三木卓	Taku Miki	person_name_japanese	wikidata:Q553683:japan
三木武吉	Bukichi Miki	person_name_japanese	wikidata:Q24876:japan
三木睦子	Mutsuko Miki	person_name_japanese	wikidata:Q29365:japan
三村申吾	Shingo Mimura	person_name_japanese	wikidata:Q174982:japan
三池崇史	Takashi Miike	person_name_japanese	wikidata:Q185421:japan
三浦綾子	Ayako Miura	person_name_japanese	wikidata:Q256177:japan
三浦绫子	Ayako Miura	person_name_japanese	wikidata:Q256177:japan
三田一郎	Anthony Ichiro Sanda	person_name_japanese	wikidata:Q440006:japan
三石琴乃	Kotono Mitsuishi	person_name_japanese	wikidata:Q18735:japan
三船敏郎	Toshirō Mifune	person_name_japanese	wikidata:Q37001:japan
三谷美菜津	Minatsu Mitani	person_name_japanese	wikidata:Q438596:japan
三重乃海刚司	Mienoumi Tsuyoshi	person_name_japanese	wikidata:Q186767:japan
三重乃海剛司	Mienoumi Tsuyoshi	person_name_japanese	wikidata:Q186767:japan
上原勇作	Uehara Yūsaku	person_name_japanese	wikidata:Q128281:japan
上原埃德温	Edwin Uehara	person_name_japanese	wikidata:Q210105:japan
上原埃德溫	Edwin Uehara	person_name_japanese	wikidata:Q210105:japan
上川礼	Aya Kamikawa	person_name_japanese	wikidata:Q153599:japan
上川禮	Aya Kamikawa	person_name_japanese	wikidata:Q153599:japan
上木彩矢	Aya Kamiki	person_name_japanese	wikidata:Q256927:japan
上野千鶴子	Chizuko Ueno	person_name_japanese	wikidata:Q210343:japan
上野千鹤子	Chizuko Ueno	person_name_japanese	wikidata:Q210343:japan
下平匠	Takumi Shimohira	person_name_japanese	wikidata:Q210107:japan
下村东美	Tomi Shimomura	person_name_japanese	wikidata:Q210034:japan
下村修	Osamu Shimomura	person_name_japanese	wikidata:Q205345:japan
下村定	Sadamu Shimomura	person_name_japanese	wikidata:Q553548:japan
下村東美	Tomi Shimomura	person_name_japanese	wikidata:Q210034:japan
下村脩	Osamu Shimomura	person_name_japanese	wikidata:Q205345:japan
与谢芜村	Yosa Buson	person_name_japanese	wikidata:Q31523:japan
与野光	Hikari Yono	person_name_japanese	wikidata:Q210781:japan
世阿弥	Zeami Motokiyo	person_name_japanese	wikidata:Q169352:japan
世阿彌	Zeami Motokiyo	person_name_japanese	wikidata:Q169352:japan
东口顺昭	Masaaki Higashiguchi	person_name_japanese	wikidata:Q210054:japan
东尼大木	Tony Ooki	person_name_japanese	wikidata:Q74285:japan
东川昌典	Yoshinori Higashikawa	person_name_japanese	wikidata:Q47367:japan
东条英机	Hideki Tojo	person_name_japanese	wikidata:Q160847:japan
东野圭吾	Keigo Higashino	person_name_japanese	wikidata:Q125970:japan
丝川英夫	Hideo Itokawa	person_name_japanese	wikidata:Q60467:japan
中嶋一貴	Kazuki Nakajima	person_name_japanese	wikidata:Q171302:japan
中嶋一贵	Kazuki Nakajima	person_name_japanese	wikidata:Q171302:japan
中嶋悟	Satoru Nakajima	person_name_japanese	wikidata:Q173221:japan
中村孝太郎	Kōtarō Nakamura	person_name_japanese	wikidata:Q553852:japan
中村敬宇	Nakamura Masanao	person_name_japanese	wikidata:Q555629:japan
中村文则	Fuminori Nakamura	person_name_japanese	wikidata:Q556244:japan
中村文則	Fuminori Nakamura	person_name_japanese	wikidata:Q556244:japan
中村法道	Hōdō Nakamura	person_name_japanese	wikidata:Q52349:japan
中条比纱也	Hisaya Nakajo	person_name_japanese	wikidata:Q119292:japan
中條比紗也	Hisaya Nakajo	person_name_japanese	wikidata:Q119292:japan
中泽聪太	Sota Nakazawa	person_name_japanese	wikidata:Q194965:japan
中澤聰太	Sota Nakazawa	person_name_japanese	wikidata:Q194965:japan
中田英壽	Hidetoshi Nakata	person_name_japanese	wikidata:Q128725:japan
中田英寿	Hidetoshi Nakata	person_name_japanese	wikidata:Q128725:japan
中谷宇吉郎	Ukichiro Nakaya	person_name_japanese	wikidata:Q218021:japan
中野信治	Nakano Shinji	person_name_japanese	wikidata:Q171430:japan
中野正志	Masashi Nakano	person_name_japanese	wikidata:Q49955:japan
中野重治	Shigeharu Nakano	person_name_japanese	wikidata:Q554254:japan
丰田利晃	Toshiaki Toyoda	person_name_japanese	wikidata:Q556235:japan
丰臣秀吉	Toyotomi Hideyoshi	person_name_japanese	wikidata:Q187550:japan
丸山良明	Yoshiaki Maruyama	person_name_japanese	wikidata:Q195435:japan
丸木俊	Toshi Maruki	person_name_japanese	wikidata:Q114582:japan
丹下健三	Kenzō Tange	person_name_japanese	wikidata:Q151794:japan
久夛良木健	Ken Kutaragi	person_name_japanese	wikidata:Q557018:japan
久川綾	Aya Hisakawa	person_name_japanese	wikidata:Q49573:japan
久川绫	Aya Hisakawa	person_name_japanese	wikidata:Q49573:japan
乐山孝志	Takashi Rakuyama	person_name_japanese	wikidata:Q210058:japan
乾貴士	Takashi Inui	person_name_japanese	wikidata:Q61886:japan
二保旭	Akira Niho	person_name_japanese	wikidata:Q210770:japan
二叶亭四迷	Futabatei Shimei	person_name_japanese	wikidata:Q22665:japan
二宫浩	Hiroshi Ninomiya	person_name_japanese	wikidata:Q47324:japan
二宮浩	Hiroshi Ninomiya	person_name_japanese	wikidata:Q47324:japan
二条天皇	Nijō	person_name_japanese	wikidata:Q440149:japan
二条院赞岐	Nijō-in no Sanuki	person_name_japanese	wikidata:Q439378:japan
二條天皇	Nijō	person_name_japanese	wikidata:Q440149:japan
二條院讚岐	Nijō-in no Sanuki	person_name_japanese	wikidata:Q439378:japan
二田孝治	Koji Futada	person_name_japanese	wikidata:Q49953:japan
二葉亭四迷	Futabatei Shimei	person_name_japanese	wikidata:Q22665:japan
五十岚优美子	Yumiko Igarashi	person_name_japanese	wikidata:Q437849:japan
五十嵐優美子	Yumiko Igarashi	person_name_japanese	wikidata:Q437849:japan
井上义久	Yoshihisa Inoue	person_name_japanese	wikidata:Q49936:japan
井上厦	Hisashi Inoue	person_name_japanese	wikidata:Q12903:japan
井上和彥	Kazuhiko Inoue	person_name_japanese	wikidata:Q225654:japan
井上和彦	Kazuhiko Inoue	person_name_japanese	wikidata:Q225654:japan
井上廈	Hisashi Inoue	person_name_japanese	wikidata:Q12903:japan
井上淸	Kiyoshi Inoue	person_name_japanese	wikidata:Q556228:japan
井上義久	Yoshihisa Inoue	person_name_japanese	wikidata:Q49936:japan
井上謙二	Kenji Inoue	person_name_japanese	wikidata:Q439688:japan
井上谦二	Kenji Inoue	person_name_japanese	wikidata:Q439688:japan
井上隆智穂	Taki Inoue	person_name_japanese	wikidata:Q172985:japan
井出有治	Yuji Ide	person_name_japanese	wikidata:Q173199:japan
井口祐一	Yūichi Iguchi	person_name_japanese	wikidata:Q139757:japan
京町子	Machiko Kyō	person_name_japanese	wikidata:Q180602:japan
今井理香	Rika Imai	person_name_japanese	wikidata:Q29420:japan
今仓秀之	Hideyuki Imakura	person_name_japanese	wikidata:Q47655:japan
今倉秀之	Hideyuki Imakura	person_name_japanese	wikidata:Q47655:japan
今別府香裏	Kaori Imabeppu	person_name_japanese	wikidata:Q438591:japan
今別府香里	Kaori Imabeppu	person_name_japanese	wikidata:Q438591:japan
今别府香里	Kaori Imabeppu	person_name_japanese	wikidata:Q438591:japan
今洋祐	Yōsuke Kon	person_name_japanese	wikidata:Q24048:japan
仓场富三郎	Sadakichi Hartmann	person_name_japanese	wikidata:Q81807:japan
仓田秋	Shū Kurata	person_name_japanese	wikidata:Q210117:japan
仓藤幸	Sachi Kurafuji	person_name_japanese	wikidata:Q130450:japan
仲哀天皇	Chūai	person_name_japanese	wikidata:Q179971:japan
伊东靖英	Yasuhide Ito	person_name_japanese	wikidata:Q195067:japan
伊東靖英	Yasuhide Ito	person_name_japanese	wikidata:Q195067:japan
伊福部昭	Akira Ifukube	person_name_japanese	wikidata:Q135570:japan
伊藤佐千夫	Itō Sachio	person_name_japanese	wikidata:Q176579:japan
伊藤加奈惠	Kanae Itō	person_name_japanese	wikidata:Q50022:japan
伊藤博文	Itō Hirobumi	person_name_japanese	wikidata:Q174971:japan
伊藤大輔	Daisuke Itō	person_name_japanese	wikidata:Q171601:japan
伊藤大辅	Daisuke Itō	person_name_japanese	wikidata:Q171601:japan
伊調千春	Chiharu Icho	person_name_japanese	wikidata:Q258509:japan
伊调千春	Chiharu Icho	person_name_japanese	wikidata:Q258509:japan
伊达公子	Kimiko Date	person_name_japanese	wikidata:Q229104:japan
伊达吉村	Date Yoshimura	person_name_japanese	wikidata:Q116151:japan
伊达忠宗	Date Tadamune	person_name_japanese	wikidata:Q115852:japan
