# Generated from Unicode Unihan 17.0.0 kVietnamese plus kTraditionalVariant propagation
# Source: https://www.unicode.org/Public/17.0.0/ucd/Unihan.zip
# License: Unicode-3.0 https://www.unicode.org/license.txt
# Format: character<TAB>first Vietnamese reading<TAB>isCommon
佞	nịnh	true
你	nể	true
佳	giai	true
併	tính	true
佻	điêu	true
使	sứ	true
侅	hời	true
來	lai	true
侈	xỉ	true
例	lề	true
侔	mầu	true
侖	lỏn	true
侘	sá	true
供	cung	true
依	y	true
侠	hiệp	true
侣	lứa	true
侥	nghẹo	true
侦	trinh	true
侧	trắc	true
侨	quều	true
侩	cúi	true
侬	nùng	true
侯	hậu	true
侱	rình	true
侵	xâm	true
侶	lứa	true
侼	bụt	true
便	tiện	true
係	hệ	true
促	xúc	true
俊	tuấn	true
俐	lợi	true
俑	dõng	true
俗	tục	true
俚	lái	true
保	bảo	true
俠	hiệp	true
信	tín	true
俨	nghiễm	true
俫	lười	true
俭	kiệm	true
修	tu	true
俱	câu	true
俸	bổng	true
俺	em	true
倀	trành	true
倂	tính	true
倈	lười	true
個	cá	true
倍	bội	true
們	món	true
倒	đảo	true
倖	hãnh	true
倘	thẳng	true
候	hầu	true
倚	ỷ	true
借	tá	true
倡	xướng	true
倣	phỏng	true
値	trị	true
倦	quyện	true
倩	thiến	true
倪	nghê	true
倫	luân	true
倬	xấc	true
倭	oải	true
债	trái	true
倾	khuynh	true
偃	ễnh	true
偅	chổng	true
偈	kệ	true
偉	vĩ	true
偏	thiên	true
停	đình	true
健	kiện	true
偨	thày	true
偪	bức	true
側	trắc	true
偵	trinh	true
偶	ngẫu	true
偻	lũ	true
偽	nguỵ	true
傅	phó	true
傌	má	true
傍	bàng	true
傑	kiệt	true
傘	tàn	true
備	bị	true
傦	cốt	true
催	thòi	true
傱	tuồng	true
傲	ngạo	true
傳	truyền	true
債	trái	true
傷	thương	true
傾	khuynh	true
僂	lũ	true
僄	xỉu	true
像	tượng	true
僑	quều	true
僕	bộc	true
僚	liêu	true
僤	dạn	true
僥	nghẹo	true
僧	tăng	true
僭	tiếm	true
僮	đồng	true
價	giá	true
儀	nghi	true
儂	nùng	true
億	ức	true
儈	cúi	true
儉	kiệm	true
儒	nho	true
儳	sàm	true
儼	nghiễm	true
兀	ngột	true
元	nguyên	true
兄	huynh	true
充	sung	true
兆	triệu	true
兇	hung	true
先	tiên	true
光	quang	true
克	khắc	true
免	miễn	true
兑	đoài	true
兔	thỏ	true
兜	đâu	true
兢	cạnh	true
入	nhập	true
全	toàn	true
兩	lưỡng	true
八	bát	true
公	công	true
六	lục	true
兮	hề	true
共	cộng	true
关	quan	true
兴	hưng	true
兵	binh	true
其	kì	true
具	cụ	true
典	điển	true
养	dưỡng	true
兼	kiêm	true
兽	thú	true
内	nội	true
冉	nhiễm	true
册	sách	true
再	tái	true
冒	mạo	true
冕	miện	true
冗	nhũng	true
冘	đem	true
写	tả	true
军	quân	true
农	nông	true
冠	quán	true
冡	trũng	true
冤	oan	true
冥	minh	true
冬	đông	true
冰	băng	true
冲	trong	true
决	quyết	true
况	huống	true
冶	dã	true
冷	lạnh	true
冻	đông	true
冽	rét	true
准	chốn	true
凉	lương	true
凌	lăng	true
凍	đông	true
减	giảm	true
凛	lẫm	true
凜	lẫm	true
凝	ngưng	true
几	kỉ	true
凡	phàm	true
凤	phượng	true
凭	bằng	true
凯	khải	true
凱	khải	true
凶	hung	true
出	xuất	true
函	hòm	true
凿	tạc	true
刀	đao	true
刁	điêu	true
刃	nhẫn	true
分	phân	true
切	thiết	true
刊	san	true
刌	thổn	true
刍	so	true
刎	vẫn	true
刑	hình	true
划	vạch	true
列	liệt	true
则	tắc	true
创	sáng	true
初	sơ	true
刟	xẻo	true
删	san	true
判	phán	true
別	biết	true
刧	kiếp	true
刨	bào	true
利	lợi	true
别	biết	true
到	đáo	true
制	chế	true
刷	loát	true
刺	thích	true
刻	khắc	true
剂	tễ	true
則	tắc	true
削	tước	true
前	tiền	true
剑	kiếm	true
剖	bo	true
剝	bóc	true
剥	bóc	true
剧	cưa	true
剪	tiện	true
副	phó	true
割	cắt	true
創	sáng	true
剷	xẻng	true
剿	tiễu	true
劂	khoét	true
劃	vạch	true
劄	chép	true
劇	kịch	true
劍	kiếm	true
劑	tễ	true
劕	chặt	true
力	lực	true
劝	khuyến	true
功	công	true
加	gia	true
务	vụ	true
动	động	true
助	trợ	true
劬	cù	true
励	lệ	true
劲	cứng	true
劳	lao	true
効	hiệu	true
劾	hạch	true
势	thế	true
勁	cứng	true
勃	bột	true
勇	dũng	true
勉	miễn	true
勋	huân	true
勑	sắc	true
勒	lắc	true
動	động	true
勖	húc	true
勘	khám	true
務	vụ	true
勛	huân	true
勝	thắng	true
勞	lao	true
勢	thế	true
勤	cần	true
勦	tẹo	true
勵	lệ	true
勸	khuyến	true
勺	chước	true
勿	vật	true
包	bao	true
匈	hung	true
匍	bò	true
匏	bầu	true
匐	bặc	true
化	hoá	true
匝	táp	true
匡	khuôn	true
匣	hộp	true
匪	phỉ	true
匬	tủ	true
匮	quĩ	true
匱	quĩ	true
匹	thất	true
区	khu	true
医	y	true
匼	hộp	true
匿	nặc	true
區	khu	true
十	thập	true
千	thiên	true
卅	tạp	true
升	thăng	true
午	ngọ	true
半	bán	true
卌	tấp	true
华	hoa	true
协	hiếp	true
卒	tốt	true
卓	trác	true
協	hiếp	true
单	đơn	true
卖	mại	true
南	nam	true
博	bác	true
卜	bốc	true
卞	biện	true
占	chiêm	true
卢	lư	true
卦	quái	true
卫	vệ	true
卬	ngang	true
卯	mão	true
印	ấn	true
危	nguy	true
卲	ngoẹo	true
即	tức	true
却	khước	true
卷	quyển	true
卻	khước	true
卿	khanh	true
厂	xưởng	true
厄	ách	true
历	lịch	true
厉	lẹ	true
压	áp	true
厌	ướm	true
厓	day	true
厔	chái	true
厕	xí	true
厘	li	true
厛	sảnh	true
厝	xó	true
原	nguyên	true
厢	rương	true
厦	hè	true
厨	chù	true
厭	ướm	true
厲	lẹ	true
去	khứ	true
县	huyện	true
参	tham	true
參	tham	true
又	lại	true
及	cập	true
友	hữu	true
双	song	true
反	phản	true
发	phát	true
叔	thúc	true
取	thủ	true
受	thụ	true
变	biến	true
叙	tự	true
叛	bạn	true
叠	điệp	true
口	khẩu	true
古	cổ	true
句	câu	true
